restaurant_name,overall_score,food_score,ambience_score,service_score,good_dishes,bad_dishes,review
Blue Hill,10,10,9,10,,,"Perfection in food and service. The dining room is a little too dark for my liking, but that's a small price to pay for the delicious food."
A Voce Columbus,9,9,9,9,,,Great place for celebrating with friends or a special date night out. Try to get a seat by the window for a great view of Columbus Circle below. Upscale Italian food done right.
ABC Kitchen,8,8,9,8,"crab toast, roasted chicken",pizzas,Great airy ambience. You can feel good about the local ingredients used in the fresh tasting dishes.
Babbo,7,8,7,7,,,"I went here such a long time ago… the food was good, but I was made to feel that if you weren't ""someone"" you got put in the back at a not-so-great table by the swinging doors to the kitchen."
Back Forty,7,8,7,8,"crab boil, burgers",,Great place for a burger and beer with friends.
Balthazar,8,8,9,8,bread basket,,A nice spot for breakfast or brunch. Go to be seen while you linger over your cappuccino and New York Times.
Bar Boulud,7,7,8,9,"pates, charcuterie",,Cool space for a pre-Lincoln Center dinner for two or a quiet night out. 
Barbuto,9,10,9,9,everything,,"Make sure you order a lot of dishes and share with the table, Waxman's food is elevated comfort food done right."
Basta Pasta,8,8,7,8,"spaghetti with parm and prosciutto, squid ink pasta",,"Great Japanese Italian, delicious pastas. Not the place to go If you want quiet, but if you don't mind some noise the food won't disappoint. "
BLT Fish,9,10,9,9,"red snapper, hen of the woods mushrooms",,My favorite seafood restaurant in the city. I love that you can get a whole fish and add on the sides and sauces that you want. They also have a beautiful private function room (where we had our rehearsal dinner).
Blue Hill at Stone Barns,10,10,10,10,,,The food is so fresh (and close to the source) and it shows (in the taste and presentation). The space is beautiful (though I wish it was little more rustic).
Blue Water Grill,7,7,8,8,,,The food is solid but if you're in the Union Square area there are a lot better options.
Brgr,6,7,6,6,milkshakes,,Good place if you're looking for a quick bite or something to take to go. You can feel safe eating the meat knowing that it comes from a reliable souce.
Carmines - Midtown,7,7,7,7,,,"Good place for large groups, but be prepared to feel like a tourist. The food is good for what it is: enormous family-style portions of generic Italian food."
Citrus Bar and Grill,7,7,7,7,,,If you're into fusion-y sushi this is the place for you. 
Community Food and Juice,8,9,8,5,dessert,,My go to in the Columbia neighborhood. The food is great and they use local ingredients when possible. Their only downfall: the service can be not so hot.
Cookshop,9,9,9,9,salads,,"Cookshop does great starters, salads, and dessert, but I often skip the main courses in favor of two starters. Their ingredients are fresh and the seasonal menu is always changing."
Dinosaur Bar B Que,7,7,7,7,,,"Great for groups, a fun place to take out of towners (as long as they're not visiting from somewhere that's known for BBQ)"
