restaurant_name,overall_score,food_score,ambience_score,service_score,good_dishes,bad_dishes,review
ABC Kitchen,7,7,8,7,donuts,,"Great ambiance, and innovative food.  The service was very attentive, and the crowd ranges from young and hip to older and more conservative.  I think it's a fun dining experience, and bought a gift card here for my boss, as a thank you gift."
Accademia di Vino,6,6,6,6,pasta,,"The ambiance was a little dead on a Friday night, but this is more of a reliable neighborhood staple.  Food is great, service is good, and atmosphere is casual and comfortable.  It's also a great place to do small plates and sharing if you have a group.  I was pregnant when I was there, so didn't get the chance to sample the wine list, but hear that it is also great!"
Annisa,8,9,6,9,,,"Was really excited to try this because of Anita Lo on Top Chef Masters.  The food was perfection.  This was more of a classic fine dining experience, which was surprising, given the more upbeat neighborhood.  It's a very small restaurant, white tablecloth, very formal and the dining room is very quiet during service.  The clientele on a Saturday night was older, which surprised me."
Asia de Cuba,6,6,6,6,lobster mashed potatoes,,"Have done several work dinners here, we love it for family style dining.  I always love the lychee martini here, great cocktails, and a good place to just meet someone for a drink.  Better with groups, ambiance is always lively."
Babbo,9,9,9,9,papardelle,,"The best of Mario Batali!  Impossible to get a reservation, but very worth the trouble.  The sommeliers take their jobs very seriously here.  The pasta is perfection.  It's perfect to do Babbo for a special occasion.  Great with a group or just a couple."
Back Forty,6,6,5,5,,,"A chill spot, great food, a little dark in the dining room."
Bar Americain,5,5,5,6,,,"Nothing special.  I expected more from Bobby Flay.  Granted, I went for a work event, and we were on a set menu.  But, the dishes were not innovative (tuna tartar, salmon, roasted chicken… yawn).  I much prefer Mesa Grill for a good Flay experience"
Barking Dog,6,6,5,4,bdnyc,,"I love Barking Dog for weekend brunch, but they don't take reservations, so there's always a long wait.  That said, food is always reliable and yummy.  Best to go when you want to do a brunch a little on the early side or mid-day"
Barney Greengrass,6,8,4,4,smoked fish,,"Great smoked fish, a classic for NYC.  But, I don't recommend eating-in, it's nothing special and a little dumpy.  Better to have them cater their famous platters, or takeout.  The breads, bagels, etc, are not special either.  So, I would only get smoked fish (which is amazing!) and has earned them their reputation.  They will rush you because they have very few tables and rely on constant turnover.  No reservations and on weekends, the wait can be long."
BCD Tofu,5,5,5,5,"bulgogi, bi bim bap",,"Great Korean BBQ and classic Korean food.  The service is standard, the ambiance is nothing special, but it's reliable for a good Korean meal."
Becco,5,5,5,5,pasta tasting,,"Great for pre-theater, they have tons of seating (two dining rooms) and will get you out on time.  The 3 pasta tasting is great, because the pasta is fresh and fast.  It's also unlimited, fantastic if you have teenage boys (bottomless pits)."
Blue Hill,8,8,7,8,,,"Great for a romantic dinner.  The clientele was older, so the ambiance is a little more quiet.  But, it has all the fine dining nicieties with some really great food!"
Blue Smoke,6,6,6,6,,,Great BBQ!  
Blue Water Grill,6,6,6,6,,,"Reliable for Union Square, though it sometimes feels like the restaurant that all NJ visitors go to.  Classic for ""my parents are in town.""  Food is fresh and good but not particularly special."
BONDST,6,6,6,6,,,"Had a great Restaurant Week menu.  I would compare to Nobu's sushi, just as good and fresh.  "
