restaurant_name,overall_score,food_score,ambience_score,service_score,good_dishes,bad_dishes,review
A Voce Columbus,7,7,6,7,"straticiatella, pastas, bombolini ",,"Good, standard expense account dinner spot. The food is great, and the décor is nice, but the size somehow makes it devoid of charm, particularly vs. the madision location. They do have great private rooms in case you have an event to go to. "
A Voce Madison,8,8,8,8,"straticiatella, pastas, bombolini ",,"Much more intimate than its uptown location, and the original really hits the spot. Food is great, as is the wine list and service. Great for date nights and double dates in particular."
Abboccato,6,7,6,6,pasta,,"The food is really great here, and it is a great place to go pre/post theater. Ambiance is good for a theater dinner spot, but nothing to write home about other than that. Overall pretty solid. "
ABC Kitchen,9,9,9,9,,,"I love this place. The ambiance/décor is wonderful. The staff is friendly and knowledgeable, and the food is outstanding. I think the appetizers are far better than the entrees, so would suggest ordering tons of them for the table. The organic/eco friendly vibe is on point without being in your face. The only downside with this place is how hard it is to get a reservation. "
Accademia di Vino,3,3,3,3,,,"With so many wonderful options in the city, why go here. "
Aquavit,7,7,7,7,,,"Great, high end scandanavian with a great prix fixe and lunch menu. Tons of vegetarian options as well which is rare in midtown. Really good if you want something different. The bar is great in case you want to meet someone for a drink as well"
Arturo's Restaurant,7,8,6,6,"pizza, calzone",,"Great pizza, but much better to eat in than take out. There are a lot of great pizza options in NYC these days, but this is one of the greats. Good for a casual family/friend pizza dinner."
Babbo,9,9,9,9,,,"What hasn't been said about Babbo? It is absolutely outstanding, with creative pastas and delightful service. The bar is great for walk-ins as well. Its an absolutely awesome and memorable experience."
Balaboosta,8,8,8,8,,,"It’s a great light dinner spot by the same folks who own Taim, the fantastic falafel joint. I think the place is great. I think the appetizers & sides are significantly better than the main dishes, so go overweight those."
Balthazar,6,6,8,7,pastries,,"Balthazar is outrageously over-rated. Its fine for breakfast, but the food is mediocre across the board. A much better bet is to go the café next door for some great coffee and the best donut in NYC."
Bar Pitti,5,6,7,3,,,"Food is fine, but the real reason to come is the scene, particularly the sidewalk in the summer. The owners know it though and rip you off every chance they get (constant upsells etc). They also try to turn the tables as quickly as possible and are perpetually rushing you out. Don't expect a leisurely dinner, but you will get some eye candy."
Bar Stuzzichini,6,7,5,6,,,"Surprisingly good food for a restaurant that looks like a Maggiano's on steroids. Great place to come if Eataly is too crowded, but not a destination in and of itself. "
Basta Pasta,7,7,8,8,parmesean pasta,,Basta pasta definetely wins the unique award for italian cuisine. Cool japanese aesthetic with italian food. Very cool
Blue Hill,10,10,10,10,tasting menu,,The Obama's were on to something. Blue Hill is absolutely great for a nice dinner with your significant other or group. They are old school sustainability with creativity. It’s a particularly fantastic option for vegetarians.
Blue Hill at Stone Barns,7,7,7,7,,,"While we didn't have the best experience here, it’s a great setting and the food is good. It’s a great one time experience"
Bohemian,8,7,8,8,,,"Definitely the cool kid on the block. Complete with secret phone number, this spot is actually surprisingly friendly to those who get a reservation. The cocktails are unique and outstanding. Highly recommended. Very intimate space"
BONDST,8,8,8,8,,,"Bond Street Sushi is fantastic. Very fresh, great service and great scene. They are also very vegetarian friendly. Cool spot"
Boqueria - SoHo,8,8,8,8,"tortilla, churros, pan con tomate, patatas bravas",,"Fun, cool, casual tapas spot. Highly recommended."
Buddakan,6,7,6,6,,,"Big, flashy, mega restaurant. Food is actually pretty good, but like a giant PF Chang's for me"
Cafe Boulud,8,8,8,8,,,"Good, fancy (but not too fancy) french.  'nuff said"
Ciano,9,9,9,9,,,"New go to date/double date spot. Food is great, pastas are wonderful. Ambience is great with the hearth in the middle of the room. Great wine list and an even better wine program that allows you to split bottles with other diners in the restaurant. Ask for a table by the fireplace."
Craft,5,5,5,5,,,"Wickedly over-rated. Good concept, but dated in execution."
Craftbar,3,3,3,3,,,Food mediocre. Resting on laurels. Only good thing about this place is the bar
Daniel,9,9,9,9,tasting menu,,My go to choice for a very fancy meal. The food and service are flawless. This is a particularly great if one or more of your group is vegetarian as they really look after them well (and have a veggie tasting menu). 
Dean's - Tribeca,8,8,6,6,pizza,,"I was skeptical, but the pizza here is just outstanding. Tied with Keste as my favorite pizza place in NY. The sauce is what really sets this place apart."
Do Hwa,8,8,7,7,,,Great downtown Korean. Outstanding flavor in the food here. Nice ambiance as well.
Dos Toros Taqueria,4,4,4,4,,,"I have no idea why people love this place. It is medicore. I would much rather go to Chipotle and probably rather go to Taco bell. I guess the hot salsa is hot which is a plus. Also for vegetarians, their rice has chicken stock"
Dovetail,8,8,8,8,,,Really good UWS restaurant. Meatless Monday's (their not exclusively vegetarian program) is a fun and different choice. Great for date night.
Emporio,8,8,9,7,,,"Fun, cute, romantic spot. Food is great, as is the wine list. Service spotty, but all is forgiven when you eat the pasta. "
Falai,1,4,4,1,,,The service here is the absolute worst. Food is just standard. We needed to wait 90 minutes for our reservation. Someone stole my scarf. The manager is clueless and an ass. Never go here
Frank,7,8,7,7,"fennel salad, burrata",,"Great, simple food. In the summer, there are a few tables outside that are a lot of fun. Place is amazingly popular, so be prepared to wait and get hurried out of your table. They also have takeout/delivery which is great."
Gennaro,8,9,6,8,"kale salad, rigatoni melanze",,"Don't let looks deceive you at this excellent italian restaurant on the UWS. The food is really excellent and the menu is simple. It's cash only so hit the ATM. Bonus: if you are splitting dishes, they will do it for you in the kitchen"
Gobo,8,8,7,7,"sizzling soy cutlet platter, lettuce wraps, ginger sliced seitan",,"A vegetarian place carnivores will like. It’s a great place for a double date, or date night for those that are vegetarian or veggie friendly. Filling, flavorful and delicious. They have a great, speedy and cheaper take out service (lunch also). "
