restaurant_name,overall_score,food_score,ambience_score,service_score,good_dishes,bad_dishes,review
A Voce Columbus,7,7,7,6,,,
A Voce Madison,7,7,7,6,,,
Ai Fiori,9,10,8,9,lobster,,
Aldea,8,8,8,7,,,
Annisa,8,8,8,8,,,
Aureole,8,8,8,8,,,
Babbo,7,7,8,7,,,
Bar Boulud,7,6,7,7,,,
Basta Pasta,4,4,4,4,,,
Benjamin Steakhouse,7,7,6,6,,,
BLT Fish,8,8,7,8,,,
Blue Hill,8,8,8,8,,,
Blue Hill at Stone Barns,9,9,10,10,,,
Blue Smoke,7,7,7,7,kansas city ribs,,
Brgr,3,3,4,3,shakes,burger,"It’s the backup plan when Shake Shacks line is over a mile long. Otherwise, don't do it. Unless you want one of their fabulous shakes."
Buddakan,7,5,8,6,,,Great scene. Solid food.
Burger Joint,7,8,5,3,,,Unexpected hole-in-the-wall with one of the best burgers in the city.
Cafe Boulud,8,9,7,8,,,
Casa Mono,8,8,8,7,,,
Co.,7,8,6,5,,,Great gourmet pizzas
Colicchio and Sons,7,8,7,7,,,
Craft,7,8,7,7,,,
Crema,6,6,6,6,,,
Daisy May's BBQ,6,7,1,2,,,
Daniel,9,9,10,9,,,
DBGB,7,7,8,7,frenchie burger,,
Del Posto,8,8,9,9,,,
Dovetail,8,9,7,7,,,
Eleven Madison Park,10,10,10,10,,,"I was a fan of this place before everyone else, when you could still get a prix fix for $60 "
Empellon,6,6,6,6,guacamole (cashew sauce),,"Sometimes, its best to stick to what you know. "
Esca,7,7,7,7,,,
Gennaro,7,8,5,6,,,
Gotham Bar and Grill,7,8,7,7,,,Solid
Gramercy Tavern,8,8,8,8,,,
Haru - Gramercy,5,5,5,5,,,
Hill Country,5,5,5,4,,,
Hill Country Chicken,5,6,5,4,,,
Jean Georges,9,9,10,10,,,
JoJo,6,7,6,6,,,
Kajitsu,7,7,8,8,,,"This menu is not typical vegitarian - it is specific cuisine that sometimes makes you happy, and sometimes makes you feel like a rabbit."
Keen's,7,7,7,7,,,This 126 year old restaurant may have 126 years of dust on those pipes on the ceiling.  Not inspiring for the OCD or allergy afflicted.
L'Atelier de Joel Robuchon,9,9,8,9,,,"The food is great - you just may need the himlich maneauver after seeing the bill. Still, when Joel is in the kitchen - sporting a Yankees cap - cooking for you, you feel graced by the culinary gods. "
Landmarc,7,7,7,7,,,Solid food.  
Laut,6,6,5,5,intian pancakes,,"Michelin needs to focus on food, not being commercial, not trying to force"
Le Bernardin,10,10,8,10,,,
Lincoln,8,8,9,8,,,"Since my first visitn, they have improved the service markibly. But sometimes I still think: how could so much so good go so wrong? It reminds of… Del Posto. I'm not saying its bad, its just the expectations were… perfection."
Locanda Verde,8,8,9,8,,,
Lupa,7,7,8,8,,,
Ma Peche,7,7,7,7,,,
Maialino,8,8,8,7,,,
Marea,10,10,10,9,,,
Markt,6,6,6,6,,,
Masa,10,10,9,9,,,"The first 2 times I went - totally worth it.  Copious uni, caviar, white truffles.  The last time… not worth it"
Minetta Tavern,8,9,8,6,,,The best burger ever.  Also great: Cote de Bouf for 2.
Momofuku Ko,8,9,8,7,,,
Momofuku Ssam Bar,8,8,7,7,,,
Nobu Fifty Seven,7,7,7,7,,,The food is great. Just downgrading per year for every year it doenst change.
Oceana,8,8,7,7,,,
Osteria Morini,7,7,7,7,,,
Park Avenue Bistro,6,6,6,7,,,
Per Se,10,10,10,10,,,
Perry Street,7,7,7,7,,,
Picholine,6,6,5,8,,,"Maybe I hate purple. But all I remember from my trip was wanting to gouge my eyes in interior design horror, and the smell of gross gross gross cheese cart parked 10 feet away which smelt like my husbands feet. If he never washed them. For a year."
Pipa,6,6,7,6,,,
Public,8,8,8,7,,,
River Cafe,7,7,8,9,,,A bit dated.
Rosa Mexicano - Flatiron,6,6,7,6,,,
Rouge Tomate,7,8,7,7,,,
Scarpetta,7,8,7,7,,,
Seasonal,8,9,7,7,weinerschnitzel,,
Shake Shack - Madison Square Park,6,7,6,3,,,
Shalezeh,6,6,6,5,,,
Socarrat Paella Bar - Chelsea,7,6,8,6,chorizo,,
Soto,9,10,7,7,omakase,,
Sushi of Gari,9,9,7,7,,,
Sushi Yasuda,8,9,7,7,,,
The Breslin,8,9,8,7,,,
The Dutch,8,8,8,7,,,
The Modern,8,8,8,9,,,
Union Square Cafe,7,7,7,7,,,
Wallse,7,7,7,7,,,
wd~50,8,9,7,7,,,
Wolfgangs,6,6,7,6,,,
