restaurant_name,overall_score,food_score,ambience_score,service_score,good_dishes,bad_dishes,review
A Voce Columbus,8,8,10,6,,,"Food was all excellent.  Views of central park are gorgeous - ask for a table near the windows.  Service is weird and unprofessional, with busboys asking us if we were indian (I didn't think I was in a taxi???) and stumbling to describe the food as they delivered it.  Host was similarly awkward.  "
A Voce Madison,8,8,8,8,,,Food as good as uptown restaurant.  Views not as nice.  Service better.  
ABC Kitchen,9,9,9,9,,,Food is interesting and good.  Space is beautiful and well decorated.  Light and airy.  Love the ambience.  
Aldea,8,8,7,8,,,Mezzanine is dark and has low ceilings.  Weird and cramped for a michelin starred restaurant.  Food unhealthy but delicious. 
Aureole,7,7,6,7,,,"Food is reliable, if a bit predictable and uninteresting.  Service can be spotty (once had iced tea spilled on me twice in the same meal).  Ambience is atrocious, very stuffy and corporate. "
Babbo,10,10,10,10,"mint love letters, chianti stained pappardelle with wild boar ragu",,"Very quaint ambience (brownstone), excellent service, delicious food.  If only it were easier to get a table… Go at 6pm and snag a table in the bar area w/o a reservation, or eat at the bar itself.  "
Bar Breton,6,6,6,7,nutella galette,,"Was introduced to this restaurant by a friend with a gluten allergy… it is certified gluten free.  Food was unexpectedly good, ambience ok, service totally acceptable.  Wine list is poor and overpriced."
BLT Fish,7,7,7,7,,,Reliable and well-executed seafood.  Nothing particularly memorable or creative.  
BLT Prime,7,8,7,7,tuna tartare,,I like this place b/c the non-steak mains are actually good.  This is a rare find in a steakhouse. 
Bohemian,8,8,8,8,"sashimi, sliders",,"Love everything about this place, from the vibe inside which makes you feel like you are in a friend's living room, to the japanese butcher out front which serves as a mask for the discreet restaurant in the back.  "
BONDST,7,7,8,7,,,"Been pregnant for like 7 yrs straight, so I'll pass on reviewing this one. "
Chola,6,7,6,6,all std punjabi main dishes,,"Solid, reliable Punjabi food in a crowded / loud / casual setting.  Service is not great.  "
Ciano,7,7,7,7,roasted veal meatballs,,"Good italian food.  Interesting, well-executed pastas.  Only complaint is the limited selection (menu is quite short).  Maybe it's a little expensive for what it is.  "
Craft,6,5,7,7,,,"I always enjoy the quality of ingredients and cooking at a Tom C restaurant, but I don't love the concept of this place.  DIY approach to plate construction (you have to pair your own proteins / sides) works at a cheesy midwestern chain like Big Bowl.  But when I'm paying $100+ / person for food, I sort of don't expect to do much work, moreover, I expect something a little unexpected and more original than ""Chicken"" from the ""Meat - Roasted"" section and ""Bok Choy"" from the ""Vegetables - Sauteed"" section.  Really??  In addition to seeming lazy as a concept, it also feels a bit commercial - this way they get to charge you twice for the same course.  I'm sorry, this is only allowed at steakhouses!!!  Want food which is 95% as good for less than 50% of the cost?  Walk west to Tom C's Craftbar!!! "
Craftbar,9,9,9,9,fennel salad,,"Excellent value for money.  High-end food for medium prices.  Produce is fresh, preparations are well executed if sometimes lacking creativity.  Fish and pasta dishes shine more than starters.  Setting is bustling but not loud, service is friendly but not overbearing or pushy.  While it is not a classic ""family-friendly"" place, they have been very accomodative when we do go with children.  "
Crema,7,7,7,7,"chicken mole burrito, tuna burrito",,"Nice high-end mexican.  Good alternative to the chains (rosa, dos caminos).  Not as good as Maya or Pampano!  "
Eleven Madison Park,10,9,10,10,,,"Excellent preparations and impeccable service.  We go only 2-3x / year yet they greet us by name when we walk in.  Not a huge fan of the new menu format, preferred the old menu.  "
Gobo,6,7,6,6,braised bean curd,,Solid veg food.  Everything tastes light and healthy.  Juices are delicious. 
Gotham Bar and Grill,7,8,6,7,,,"Tables for 2 can feel cramped, they are packed in right next to each other.  Have not been disappointed with the food here.  Service is so-so.  Unlike most restaurants with michelin stars and these prices, you can be in and out in under 2 hours with no problems if you specify in advance.  "
